band,station_idx,t,month_t,u_hat_t,v_hat_t,h_hat_t,u_ref_t,v_ref_t,month_s,u_hat_s,v_hat_s,h_hat_s,u_ref_s,v_ref_s
C09,249,1759752000000000000,2025-10,-0.6956546306610107,-8.223485946655273,12828.150390625,-4.3079101788431124,-8.047565175606898,2025-10,0.666090726852417,-7.72905158996582,11821.9677734375,-4.4956596493450895,-6.598873194127332
C09,482,1760140800000000000,2025-10,4.837313175201416,3.6732656955718994,12260.505859375,5.9979941853095555,-0.9257306737765495,2025-10,5.743007183074951,3.928766965866089,11271.4384765625,8.321856832318007,1.6687573590141256
C09,249,1760400000000000000,2025-10,-6.791102886199951,-1.1975982189178467,12206.705078125,-5.48944558288602,-0.9440419027500369,2025-10,-7.142167091369629,-0.8264325261116028,11006.404296875,-7.445873986479117,-0.2786021915527347
C09,249,1761739200000000000,2025-10,-0.26713916659355164,2.504815101623535,11368.1572265625,1.6165426372454463,1.550185761951552,2025-10,0.04108119010925293,3.018421173095703,10487.83203125,4.262675849048906,2.500014943078037
C09,533,1762128000000000000,2025-11,15.436251640319824,5.283045291900635,11834.75390625,15.205844129083324,6.894751267443486,2025-11,15.415582656860352,5.327617168426514,10854.0732421875,15.620934356837017,8.732185420154462
C09,249,1762257600000000000,2025-11,-5.1766676902771,2.14284348487854,11341.578125,-5.728113366975835,4.372172701065119,2025-11,-6.190617561340332,2.440894365310669,10900.6328125,-5.833360081219541,3.2116514077908476
C09,579,1762776000000000000,2025-11,-7.205011367797852,11.632149696350098,12391.3798828125,-5.60176054077073,9.380811248637498,2025-11,-7.940942764282227,11.872776985168457,12198.4306640625,-5.529394066724426,8.772837563918204
C09,527,1763035200000000000,2025-11,19.037248611450195,8.660785675048828,12797.2939453125,20.29460241218736,8.125480029494973,2025-11,18.385009765625,8.634248733520508,11856.4296875,18.073065511466694,11.4062776179338
C09,529,1763035200000000000,2025-11,14.771323204040527,11.135334968566895,12305.1240234375,17.88138512289912,10.725206517687282,2025-11,14.108192443847656,10.463390350341797,11801.4833984375,16.607451418458428,11.294959335191948
C09,527,1763078400000000000,2025-11,12.380927085876465,6.407931804656982,12261.8232421875,13.251572103976473,5.7024506514891975,2025-11,12.211599349975586,6.052773475646973,11307.4580078125,14.214395937044804,10.512248432077467
C09,249,1763294400000000000,2025-11,-1.3408377170562744,7.868847846984863,12110.9453125,2.056896161905111,6.965928804700928,2025-11,-1.6832844018936157,7.7743754386901855,11749.85546875,1.080952083755181,6.6657052439474995
C09,533,1763424000000000000,2025-11,12.686605453491211,7.969789981842041,12497.130859375,12.344537423198437,10.029402927887952,2025-11,11.904726028442383,7.80794095993042,11413.234375,13.28940638880411,11.151135676374581
C09,249,1763769600000000000,2025-11,5.7019548416137695,12.74263858795166,11030.265625,10.979769142105146,13.66750575665571,2025-11,4.711212158203125,12.478094100952148,10990.173828125,10.93579135055456,13.816805052313908
C09,249,1763985600000000000,2025-11,0.2969566285610199,8.840920448303223,11632.9638671875,1.2708493512862185,10.561842534490385,2025-11,-0.16331040859222412,9.173345565795898,11379.9501953125,1.421621987226174,10.193893614871326
C09,249,1764072000000000000,2025-11,1.321320652961731,8.561113357543945,10658.71875,3.2664896943691915,7.869825705766964,2025-11,0.8506498336791992,8.621166229248047,11062.814453125,4.174460685874493,8.490566700265434
