band,station_idx,t,month_t,u_hat_t,v_hat_t,h_hat_t,u_ref_t,v_ref_t,month_s,u_hat_s,v_hat_s,h_hat_s,u_ref_s,v_ref_s
C08,482,1759363200000000000,2025-10,-12.30222225189209,-3.2230217456817627,12354.82421875,-15.571121656071595,-2.9807447391480357,2025-10,-10.972403526306152,-2.33487868309021,11225.2998046875,-8.919972363734189,-4.113936191386814
C08,249,1759492800000000000,2025-10,-2.7484664916992188,-6.997486114501953,12814.2978515625,-7.784054440428921,-7.55223147570066,2025-10,-0.31476104259490967,-6.270333290100098,11607.16015625,-4.274080044031143,-7.688836168125271
C08,250,1759492800000000000,2025-10,10.005658149719238,0.5593786239624023,11698.2314453125,13.123967537417302,0.5825478970383092,2025-10,10.62518310546875,0.9526379704475403,11949.8466796875,13.200303679369894,0.7811007039915665
C08,251,1759492800000000000,2025-10,4.388158321380615,2.6278088092803955,12660.4111328125,3.899444885428451,-0.1488791047993248,2025-10,4.131195545196533,2.695769786834717,11466.896484375,2.9546756356674546,2.1916354829379014
C08,249,1759536000000000000,2025-10,-1.5571260452270508,-2.9259164333343506,11746.609375,-0.06309109242624156,-0.16010295772991762,2025-10,-0.20308494567871094,-2.5772852897644043,10791.23046875,2.013552339015899,0.27672116859650414
C08,482,1759536000000000000,2025-10,6.490410804748535,-8.865894317626953,12333.3662109375,4.450482737568372,-8.126654542755134,2025-10,6.786750316619873,-8.551741600036621,11152.6982421875,2.0127872291098656,-9.013903427279244
C08,792,1759622400000000000,2025-10,11.071688652038574,0.03738080710172653,11583.3173828125,9.492588766650782,1.1216699001976795,2025-10,11.300237655639648,0.32061946392059326,10886.6044921875,6.862602183527352,1.8908570343720845
C08,482,1759708800000000000,2025-10,12.914539337158203,-9.04621696472168,12397.306640625,12.138644571670149,-10.549173607395307,2025-10,12.71912670135498,-9.187509536743164,11609.5341796875,5.842221536861207,-9.835183016824963
C08,792,1759708800000000000,2025-10,10.1323823928833,0.4599735140800476,12130.3427734375,13.53495320467851,1.6368056384925147,2025-10,10.139893531799316,0.7061837911605835,11501.865234375,12.37747231177017,2.4044370138294315
C08,791,1759752000000000000,2025-10,16.593461990356445,0.6407750844955444,11748.3154296875,18.25072298082221,1.5399939343947504,2025-10,16.45700454711914,0.4462054371833801,11347.1943359375,18.002166186143413,1.8693181679238415
C08,249,1759795200000000000,2025-10,-0.04621007665991783,-6.499395847320557,12932.73828125,-4.061060137838508,-6.637897691085035,2025-10,1.04459810256958,-5.780581951141357,11846.0390625,-5.350983770948793,-5.45386321769522
C08,806,1759795200000000000,2025-10,20.22159767150879,0.8912945985794067,12094.857421875,20.027844327788657,3.1720988876907756,2025-10,19.46369171142578,0.5914515852928162,11226.71484375,20.200369296644176,3.199424308895225
C08,535,1759968000000000000,2025-10,4.615285396575928,-18.002704620361328,12988.017578125,-0.5789375293969957,-21.375291980938286,2025-10,5.382142543792725,-18.105676651000977,11787.5908203125,-3.3720155812928034,-15.7381867944863
C08,579,1760011200000000000,2025-10,-1.005056619644165,3.8448100090026855,12691.5400390625,-0.2564348039354638,1.9591588144018603,2025-10,-0.9221458435058594,3.9938175678253174,12066.6259765625,0.30160408362834934,4.025332328325714
